hospital_id,year,hospital_name,address_street,address_city,address_zip,health_service_area,hospital_planning_area,county,ownership_type,ownership_detail,critical_access,long_term_acute_care,class_general,class_rehabilitation,class_childrens_specialty,class_psychiatric,admin_name,admin_title,admin_telephon,admin_email,date_received,contact_name,contact_title,contact_telephone,contact_email,hospital_operator,physical_plant_owner,mgmt_contracts_acute_mental_illness,mgmt_contracts_rehabilitation_services,mgmt_contracts_emergency_medical_services,facility_comments,agency_comments,data_certification_name,data_certification_title,data_certification_date
1289,2012,Loretto Hospital,645 South Central Avenue,Chicago,60644,6,A-02,Cook,Not for Profit Corporation (Not Church-Related),,,,General Hospital,,,,"Dr. Sonia Mehta, MD",President/CEO/CMO,(773) 854-5000,dr.mehta@lorettohospital.org,41360.59059,Adrienne Gabriel,"Director, Performance Improvement",(773) 854-5609,adrienne.gabriel@lorettohospital.org,Renaissance Hospital Management Company,501c3,,,Horizon Emergency Physicians,,,Adrienne Gabriel,"Director, Performance Improvement",41360
5249,2012,Louis A. Weiss Memorial Hospital,4646 North Marine Drive,Chicago,60640,6,A-01,Cook,For Profit Corporation,,,,General Hospital,,,,Jeff Wright,CFO,773-564-7288,jewright@weisshospital.com,41361.69545,Mike Sprague,Director,708-783-0309,msprague@weisshospital.com,VHS Acquisition Subsidiary Number 3,VHS Acquisition Subsidiary Number 3,,,,,,Jeff Wright,CFO,41361
1578,2012,Mercy Hospital & Medical Center,2525 South Michigan Avenue,Chicago,60616,6,A-03,Cook,Not for Profit Corporation (Not Church-Related),,,,General Hospital,,,,"Sr. Sheila Lyne, RSM",President & CEO,312-567-2019,slyne@mercy-chicago.org,41361.41538,Lee Pe,Decision Support Analyst,312-567-5666,lpe@mercy-chicago.org,Mercy Hospital and Medical Center,Mercy Health System of Chicago,,,,,,Lin Ye,Accounting Manager,41361
0125,2012,Methodist Hospital of Chicago,5025 North Paulina Street,Chicago,60640,6,A-01,Cook,Church-Related,,,,General Hospital,,,,Joseph Chandy,Administrator,773-989-1334,jchandy@bethanymethodist.org,41358.64045,Jim Gregory,CORPORATE CONTROLLER,773-989-1469,jgregory@bethanymethodist.org,Bethany Homes and Methodist Hospital,Bethany Homes and Methodist Hospital,,,,,,James Gregory,Corporate Controller,41358
1644,2012,Mount Sinai Hospital Medical Center,2750 W. 15th Street,Chicago,60608,6,A-02,Cook,Not for Profit Corporation (Not Church-Related),,Critical Access Hospital,,General Hospital,,Children's Speciality Care Hospital,,Alan H. Channing,President & Chief Executive Officer,773-257-6434,alan.channing@sinai.org,41362.77719,David Frankel,"Vice President, Planning, Marketing & Communicatio",773-257-4215,david.frankel@sinai.org,Mount Sinai Hospital Medical Center,Sinai Health System,,Schwab Rehabilitation Hospital,,Question VIII.  Emergency/Trauma Care<br><br>Mount Sinai Hospital Medical Center is a designated Level 1 Trauma Center for both Adult and Pediatric patients.   Page 9 of the survey form does not provide an option to select both Adult and Pediatric levels of trauma care.,,David Frankel,"Vice President, Planning, Marketing & Comm.",41362
3251,2012,Northwestern Memorial Hospital,211 East Ontario Room 11-1103,Chicago,60611,6,A-01,Cook,Not for Profit Corporation (Not Church-Related),,,,General Hospital,,,,Dean M. Harrison,President and Chief Executive Office,312-926-2008,dharriso@nmh.org,41362.61443,Abdul Malik,Business Development Associate,312-926-6461,amalik1@nmh.org,Northwestern Memorial Hospital,Northwestern Memorial Hospital,,,,"Question XII:  The question breaks out Angiography Equipment into Diagnostic and Interventional Angiography.  However, Radiology Department could not break out Diagnostic Angiography data from Interventional Radiology, Electrophysiology Lab, and Cardiac Catherization Lab.  Therefore, the number inpatient and outpatient exams were combined into Interventional Angiography.  The number of Angiography equipment owned by the hospital is 12 and the Intervention Angiography equipment, as written in the survey, served 8,160 Inpatients and 12,912 Outpatients.  
The table below shows the break out:
                Category                                                        Hospital Owned                                IP Exams                                   OP Exams
                8. Angiography                                                             12                                                    8,160                                         12,912
                     Interventional Radiology                                   7                                                    5,519                                            8,249
                     Electrophysiology Lab                                          2                                                    1,221                                            3,353
                     Cardiac Catherization Lab                                3                                                    1,420                                            1,310",,Douglas M. Young,"Vice President, Finance",41362
1727,2012,Norwegian American Hospital,1044 North Francisco Avenue,Chicago,60622,6,A-02,Cook,Not for Profit Corporation (Not Church-Related),,,,General Hospital,,,,JOSE SANCHEZ,CEO,773-292-8200,JRSANCHEZ@NAHOSPITAL.ORG,41375.68595,Eva Lowry Yore,DIRECTOR FISCAL SERVICES,773-292-8238,ELOWRYYORE@NAHOSPITAL.ORG,NORWEGIAN AMERICAN HOSPITAL,NORWEGIAN AMERICAN HOSPITAL,,,,,,ARVELL HODGES,ACCOUNTANT,41375
1719,2012,Presence Our Lady of the Resurrection Medical Center,5645 West Addison Street,Chicago,60634,6,A-01,Cook,Church-Related,,,,General Hospital,,,,Martin Judd,Executive VP / Chief Executive Officer,773-282-3001,mjudd@presencehealth.org,41362.63715,Richard Franco,Business Unit CFO,847-316-4190,richard.franco@presencehealth.org,Presence Our Lady of the Resurrection Medical Cent,Presence Our Lady of the Resurrection Medical Cent,,,,"Per agreement with Mike Constantino and Courtney Avery, the data derived from our audited financials is not available to be included in the annual questionnaire.  Presence Health has received an extension to May 31, 2013 to submit this data.  Data impacted includes:  • Net revenue by payor  • Actual cost of charity care  • Capital Expenditures  • Community Benefit",,Martin Judd,Chief Executive Officer,41362
1974,2012,Presence Resurrection Medical Center,7435 West Talcott Avenue,Chicago,60631,6,A-01,Cook,Church-Related,,,,General Hospital,,,,John Baird,Executive Vice President/CEO,773-792-5153,John.Baird@presencehealth.org,41362.62198,Rich Franco,Business Unit CFO,773-792-8725,Richard.Franco@presencehealth.org,Presence Resurrection Medical Center,Presence Resurrection Medical Center,,,,"Per agreement with Mike Constantino and Courtney Avery, the data derived from our audited financials is not available to be included in the annual questionnaire.  Presence Health has received an extension to May 31, 2013 to submit this data.  Data impacted includes:  • Net revenue by payor  • Actual cost of charity care  • Capital Expenditures  • Community Benefit",,Rich Franco,Business Unit CFO,41362
5181,2012,Presence Saint Joseph Hospital Chicago,2900 North Lake Shore Drive,Chicago,60657,6,A-01,Cook,Church-Related,,,,General Hospital,,,,Roberta Luskin-Hawk,Executive Vice President,773 665 3972,rluskin-hawk@presencehealth.org,41362.62095,Carol Schultz,Director of Quality,773 665 3151,cschultz1@presencehealth.org,Presence Saint Joseph Hospital Chicago,Presence Saint Joseph Hospital Chicago,,,Presence Medical Group,"Per agreement with Mike Constantino and Courtney Avery, the data derived from our audited financials is not available to be included in the annual questionnaire.  Presence Health has received an extension to May 31, 2013 to submit this data.  Data impacted includes:  • Net revenue by payor  • Actual cost of charity care  • Capital Expenditures  • Community Benefit",,Carol Schultz,Director of Quality,41362
2584,2012,Presence Saint Mary Of Nazareth Hospital,2233 West Divison Street,Chicago,60622,6,A-02,Cook,Church-Related,,,,General Hospital,,,,Margaret McDermott,President / CEO,312-770-2000,MMcDermott@presencehealth.org,41358.75492,Bob Cech,Business Unit CFO,312-770-2105,bcech@presencehealth.org,Presence Saints Mary and Elizabeth Medical Center ,Presence Saints Mary and Elizabeth Medical Center ,,,,"Per agreement with Mike Constantino and Courtney Avery, the data derived from our audited financials is not available to be included in the annual questionnaire.  Presence Health has received an extension to May 31, 2013 to submit this data.  Data impacted includes:  • Net revenue by payor  • Actual cost of charity care  • Capital Expenditures  • Community Benefit",,Kevin Hoak,Manager of Business Operations,41358
5314,2012,Presence St. Elizabeth's Hospital,1431 North Claremont,Chicago,60622,6,A-02,Cook,Church-Related,,,,General Hospital,,,,Margaret McDermott,President / CEO,312-770-2000,MMcDermott@presencehealth.org,41358.77175,Bob Cech,Business Unit CFO,312-770-2105,bcech@presencehealth.org,Presence Saints Mary and Elizabeth Medical Center ,Presence Saints Mary and Elizabeth Medical Center ,"Streamwood Management Services, LLC",,,"Per agreement with Mike Constantino and Courtney Avery, the data derived from our audited financials is not available to be included in the annual questionnaire.  Presence Health has received an extension to May 31, 2013 to submit this data.  Data impacted includes:  • Net revenue by payor  • Actual cost of charity care  • Capital Expenditures  • Community Benefit",,Kevin Hoak,Manager of Business Operations,41358
4549,2012,Provident Hospital of Cook County,500 East 51st Street,Chicago,60615,6,A-03,Cook,County,,,,General Hospital,,,,"Mr. Thomas J. Dohm, MBA, FACHE",Interim Chief Operating Officer,312-572-1210,rdohm@cookcountyhhs.org,41362.63999,"Mr. Thomas J. Dohm, MBA, FACHE",Interim Chief Operating Officer,312-572-1210,tdohm@cookcountyhhs.org,Cook County Health and Hospitals System,Cook County Health and Hospitals System,,,,,,Thomas J. Dohm,Interim Chief Operating Officer,41362
1958,2012,Rehabilitation Institute of Chicago,345 East Superior Street,Chicago,60611,6,A-01,Cook,Not for Profit Corporation (Not Church-Related),,,,,Rehabilitation Hospital,,,Peggy Kirk,"Senior Vice President, Chief Clinical Operating Of",312-238-3305,pkirk@ric.org,41362.6109,Nancy E. Paridy,"Senior Vice President, General Counsel",312-238-6208,nparidy@ric.org,Rehabilitation Institute of Chicago,Rehabilitation Institute of Chicago,,,,,,Peggy Kirk,"SVP, Chief Clinical Operating Officer",41362
5678,2012,RML Specialty Hospital Chicago,3435 West Van Buren Street,Chicago,60624,6,A-02,Cook,Other Not For Profit (specify below),Not For Profit Partnership,,LongTerm Acute Care Hospital (LTACH),,,,,James R. Prister,President and CEO,630-286-4120,JPrister@rmlsh.org,41360.61307,Kenneth Pawola,Chief Operating Officer,630-286-4458,kpawola@rmlsh.org,RML Health Providers Limited Partnership,Advocate Health and Hospital Corporation,,,,"Community Benefits for this location are included in the totals for RML Health Providers in Hinsdale, IL.  It is not possible to break out amounts by location.  Rather than double count, the dollars attributable to the Community Benefit Categories are marked ""Not Available"".",,Kenneth Pawola,Chief Operating Officer,41360
2063,2012,Roseland Community Hospital,45 West 111th Street,Chicago,60628,6,A-03,Cook,Not for Profit Corporation (Not Church-Related),,,,General Hospital,,,,DIAN M. POWELL,CEO,773-995-3012,dpowell@roselandhospital.org,41365.65116,Anwar Kinte,CONTROLLER,773-995-3178,akinte@roselandhospital.org,ROSELAND COMMUNITY HOSPITAL ASSOCIATION,ROSELAND COMMUNITY HOSPITAL ASSOCIATION,,"MAXIMUM REHABILITATION, PRIME HEALTHCARE",EMERGENCY MEDICAL SPECIALISTS,,,MR. ANWAR B. KINTE,CONTROLLER,41364
1917,2012,Rush University Medical Center,1653 West Congress Parkway,Chicago,60612,6,A-02,Cook,Other Not For Profit (specify below),Non-Government - Other Not For Profit,,,,,,,"Dr. Larry J. Goodman, M.D.",CEO,312-942-5865,Larry_J_Goodman@rush.edu,41365.7287,Neha Mehta,Senior Analyst,312-942-5962,neha_mehta@rush.edu,Rush University Medical Center,Rush University Medical Center,,,,,,"Dr. Larry J. Goodman, M.D.",CEO,41365
4168,2012,Sacred Heart Hospital,3240 West Franklin Blvd,Chicago,60624,6,A-02,Cook,Other For Profit (specify below),S-Corporation,,,General Hospital,,,,Edward J. Novak,President/CEO,(773) 722-3020,ssumrell@sacredheartchicago.com,41362.58503,Anthony Puorro,Chief Operating Officer,(773) 722-3020,ssumrell@sacredheartchicago.com,Westside Community Hospital d/b/a Sacred Heart Hos,Westside Community Hospital d/b/a Sacred Heart Hos,,,,,,Anthony J. Puorro,Chief Operating Officer,41362
2147,2012,Schwab Rehabilitation Center,1401 South California Avenue,Chicago,60608,6,A-02,Cook,Not for Profit Corporation (Not Church-Related),,,,,Rehabilitation Hospital,,,Alan H. Channing,President & Chief Executive Officer,773-257-6434,alan.channing @sinai.org,41363.58546,David Frankel,"Vice President, Planning, Marketing & Communicatio",773-257-4215,david.frankel@sinai.org,Schwab Rehabilitation Hospital,Sinai Health System,,,Mount Sinai Hospital Medical Center,,,David Frankel,"Vice President, Planning, Marketing & Comm.",41363
3152,2012,Shriners Hospitals for Children - Chicago,2211 North Oak Park,Chicago,60707,6,A-01,Cook,Not for Profit Corporation (Not Church-Related),,,,,,Children's Speciality Care Hospital,,Mark Niederpruem,Administrator,773-385-5445,mniederpruem@shrinenet.org,41354.43575,"Philip Magid, MSA",,,pmagidshrinenet.org,Shriners Hospitals for Children,Shriners Hospitals for Children,,,,,,Philip  Magid,Director of Fiscal Services,41354
3459,2012,"South Shore Hospital, Corp.",8012 South Crandon  Ave.,Chicago,60617,6,A-03,Cook,Not for Profit Corporation (Not Church-Related),,,,General Hospital,,,,Timotthy A. Caveney,Chief Executive Officer,773-356-5200,tcaveney@southshorehospital.com,41361.45581,Timothy A. Caveney,Chief  Executive Officer,773-356-5200,tcaveney@southshorehospital.com,South Shore Hospital Corp.,South Shore Hospital Corp.,Horizon Mental Healh Management,,,"To date, the 2012 Community Benefit Definitions(page17) are not yet available. We  expect to have them in June 2013.",,Timothy A. Caveney,Chief Executive Officer,41361
5637,2012,St. Anthony Hospital,2875 West 19th Street,Chicago,60623,6,A-02,Cook,Not for Profit Corporation (Not Church-Related),,,,General Hospital,,,,Guy A. Medaglia,President & CEO,(773)484-4300,guy@sahchicago.org,41354.45117,Jill Stemmerman,Vice President of Patient Care,(773)484-4470,jstemmer@saintanthonyhospital.org,Saint Anthony Hospital,Saint Anthony Hospital,,,,,,Jill Stemmerman,Vice President of Patient Care,41354
2303,2012,St. Bernard Hospital,326 West 64th Street,Chicago,60621,6,A-03,Cook,Church-Related,,,,General Hospital,,,,CHARLES HOLLAND,PRESIDENT/CEO,773-962-4100,cholland@stbh.org,41361.48647,GUY ALTON,CFO,773-962-4073,guyalton@stbh.org,ST BERNARD HOSPITAL,ST BERNARD HOSPITAL,,,,"The Community Benefits data will be provided on May 31, 2013.",,CHARLES A HOLLAND,PRESIDENT/CEO,41361
2717,2012,Swedish Covenant Hospital,5145 North California Avenue,Chicago,60625,6,A-01,Cook,Church-Related,,,,General Hospital,,,,Mark Newton,President/Chief Executive Officer,773-907-1000,mnewton@schosp.org,41359.393,Robert K nautz,"Senior Director, Decision Support","773-878-8200, ext 1889",rknautz@schosp.org,Swedish Covenant Hospital,Swedish Covenant Hospital,,,,,,Mark Newton,President/Chief Executive Officer,41359
5371,2012,Thorek Memorial Hospital,850 West Irving Park Road,Chicago,60613,6,A-01,Cook,Not for Profit Corporation (Not Church-Related),,,,General Hospital,,,,Edward Budd,President & CEO,773-975-6705,nedb@thorek.org,41379.43196,Cynthia Barrera,Administrative Assistant,773-975-6867,cbarrera@thorek.org,Thorek Memorial Hospital,Thorek Memorial Hospital,,Vital Rehabilitation,Emergency Physician Management Group,,,Edward Budd,President & CEO,41379
5454,2012,UHS Hartgrove Hospital,5730 West Roosevelt RD.,Chicago,60644,6,A-02,Cook,For Profit Corporation,,Critical Access Hospital,,,,,Psychiatric Hospital,Steven Airhart,CEO,(773) 413-1800,Steven.Airhart@uhsinc.com,41361.48834,Maria Zaragoza,Executive Assistant to the CEO,(773) 413-1801,Maria.Zaragoza@uhsinc.com,"Universal Health Services, Inc.","Universal Health Services, Inc.",,,,,,Maria E. Zaragoza,Executive Assistant to the CEO,41361
3897,2012,University Of Chicago Medical Center,5841 South Maryland,Chicago,60637,6,A-03,Cook,Not for Profit Corporation (Not Church-Related),,,,General Hospital,,,,Sharon O'Keefe,President,773-702-8908,sharon.okeefe@uchospitals.edu,41341.61336,John Beberman,"Director, Capital Budget & Control",773-702-1246,john.beberman@uchospitals.edu,The University of Chicago Medical Center,The University of Chicago Medical Center,,,,,,John R. Beberman,"Director, Capital Budget & Control",41341
5280,2012,University of Illinois Medical Center @ Chicago,1740 West Taylor Avenue,Chicago,60612,6,A-02,Cook,Other Not For Profit (specify below),Other Not For Profit: Government State,,,General Hospital,,,,Dr. Bryan Becker,"CEO, Healthcare System",312.413.9446,SSaucedo@uic.edu,41351.61169,Sheetal Ghayal,"Director, Business Planning and Decision Support",312.996.2559,sghayal@uic.edu,State of Illinois,University of Illinois,Not Applicable,Not Applicable,,"Part I, Question L: Inpatient Utilization by Racial Group and Ethnicity – Starting in 2012 CMS wanted ethnicity data to be reported as part of the core measure data set. Over the course of CY12, UIMCC redefined the ethnicity data within the registration system to assure consistency of data transfer and reporting. As a result of this migration, the CY12 data reflects an increase from Hispanic or Latino to Non-Hispanic or Latino.    Part I, Question IIIA: Surgical Procedures – Invasive, Non OR, Dedicated Surgical Procedure Rooms. Inpatient pain management activity is performed in the operating room and not in a dedicated inpatient procedure room. Therefore, UIMCC has reported inpatient pain management procedures and hours within General Surgery in Question III: Surgical Procedures – Main O.R.    Part I, Question VIII: Emergency/Trauma Care - C. Type of the Trauma Center: UIMCC is a level 2 trauma center for adults and pediatrics. The AHQ survey only allows for the selection of adult or pediatrics.    Part I, Question VIII: Emergency/Trauma Care – E. Trauma Visits and Trauma Admissions to Hospital: According to Illinois Department of Public Health Emergency Medical Systems and Highway Safety website, UIMCC is not listed as a trauma center and therefore does not have to report trauma visits and admissions.     Part I, Question XI. Diagnostic and Therapeutic Equipment - Radiation Therapy Treatment Courses: Per AHQ instructions, UIMCC has identified Radiation Therapy treatment courses as examinations.     Part II, Question 3 Actual Cost of Services Provided to Charity Care inpatients and outpatients during your reported fiscal year: Per AHQ instructions, the reporting entity must report the actual cost of services provided based on the total cost to charge ratio derived from the hospital's Medicare cost report (CMS 2552-96 Worksheet C, Part 1, PPS Inpatient Ratios). Following those instructions, UIMCC’s reported total cost of services for inpatient and outpatient services is $14,037,150. UIMCC would like to indicate that on UIMCC’s audited financial statements for FY2012, the total cost of services provided to charity care was $17,806,000. The cost figure on the audited financial statement is different because it is calculated utilizing a cost accounting methodology which allocates full cost and is not derived from the cost to charge ratio from the Medicare Cost Report which includes only “allowable costs” as defined by the Medicare program.    Part II, Question 4 Community Benefit: As a state-owned entity, the University of Illinois Medical Center at Chicago has been exempt from Community Benefits Act (Public Act 93-480) which mandates all non-profit hospitals to report community benefit. At this time UIMCC is in the process of establishing a methodology for identifying community benefit and is reporting Community Benefits as Not Available.",,David Loffing,Chief Operating Officer,41351
