Original Dataset,Operated by:,Dataset Description,PROGRAM,SITE NAME,HOURS OF OPERATION,PHONE,LOCATION,FAX,Fax 2,Phone 2,Phone 3,Phone 4,Phone 5,ADMIN,COUNTY,EMAIL,CATEGORY,Website,Additional information,Additional information - 2
http://data.cityofchicago.org/Health-Human-Services/Senior-Centers/qhfc-4cw17,Chicago,"Senior Center locations, hours of operation and contact information.",Satellite Senior Center,Austin,Mon - Fri 8:30 a.m. to 4:30 p.m. ,312-743-1538,"5071 Congress Parkway
Chicago, IL 60644
(41.87393384627249, -87.75205184121931)",,,,,,,,,,,,,
http://data.cityofchicago.org/Health-Human-Services/Senior-Centers/qhfc-4cw18,Chicago,"Senior Center locations, hours of operation and contact information.",Satellite Senior Center,Truman College,Computer Classes Only -Schedule varies,312-744-4016,"1145 Wilson Avenue
Chicago, IL 60640
(41.96537172202582, -87.65901561549461)",,,,,,,,,,,,,
http://data.cityofchicago.org/Health-Human-Services/Senior-Centers/qhfc-4cw19,Chicago,"Senior Center locations, hours of operation and contact information.",Satellite Senior Center,North Center,Mon - Fri 8:30 a.m. to 4:30 p.m. ,312-745-4029,"4040 Oakley Avenue
Chicago, IL 60618
(41.954849869961514, -87.68608804614789)",,,,,,,,,,,,,
http://data.cityofchicago.org/Health-Human-Services/Senior-Centers/qhfc-4cw20,Chicago,"Senior Center locations, hours of operation and contact information.",Satellite Senior Center,Portage Park,Mon - Fri 8:30 a.m. to 4:30 p.m. ,312-744-9022,"4100 Long Avenue
Chicago, IL 60641
(41.95497573162156, -87.76210231986396)",,,,,,,,,,,,,
http://data.cityofchicago.org/Health-Human-Services/Senior-Centers/qhfc-4cw21,Chicago,"Senior Center locations, hours of operation and contact information.",Satellite Senior Center,Pilsen,Mon - Fri 8:30 a.m. to 4:30 p.m. ,312-743-0493,"2021 Morgan Street
Chicago, IL 60608
(41.855146, -87.651544)",,,,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Neighborhood-Health-Clinics/mw69-m6xi,Chicago,"Neighborhood health clinic locations, hours of operation and contact information.","Adults, Children, Family Case Management, Medication Assistance, Pregnancy Testing, Pregnant Women, Women seeking Birth Control",Englewood Neighborhood Health Clinic,"Mon, Wed, Fri: 8:00 am ÛÒ 4:00 pm; Tue, and Thurs: 10:00 am - 6:00pm",312-747-7831,"641 W. 63rd St.
Chicago, IL 60621
(41.779780316087795, -87.64157740963851)",,,,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Neighborhood-Health-Clinics/mw69-m6xi,Chicago,"Neighborhood health clinic locations, hours of operation and contact information.","Adults, Children, Family Case Management, Immigration Physicals, Medication Assistance, Pregnancy Testing, Pregnant Women, Women seeking Birth Control",Lower West Neighborhood Health Clinic,Mon - Fri: 8:00 am ÛÒ 4:00 pm.,312-746-5157,"1713 S. Ashland Ave.
Chicago, IL 60608
(41.85859418201153, -87.6660674613758)",,,,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Neighborhood-Health-Clinics/mw69-m6xi,Chicago,"Neighborhood health clinic locations, hours of operation and contact information.","Adults, Family Case Management, Medication Assistance",Roseland Neighborhood Health Clinic,"Mon, Wed, Fri: 8:00 am ÛÒ 4:00 pm; Tue, and Thurs: 9:00 am - 5:00pm",312-747-9500,"200 E. 115th St.
Chicago, IL 60628
(41.68540464454324, -87.61804579760663)",,,,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Neighborhood-Health-Clinics/mw69-m6xi,Chicago,"Neighborhood health clinic locations, hours of operation and contact information.","Children, Family Case Management, Pregnancy Testing, Pregnant Women, Women seeking Birth Control",South Chicago Women & Children Health Center,Mon - Fri: 8:00 am ÛÒ 4:00 pm.,312-747-5285,"2938 E. 89th St.
Chicago, IL 60617
(41.733735602176786, -87.55257057910126)",,,,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Neighborhood-Health-Clinics/mw69-m6xi,Chicago,"Neighborhood health clinic locations, hours of operation and contact information.","Children, Family Case Management, Pregnancy Testing, Pregnant Women, Women seeking Birth Control",South Lawndale Women & Children Health Center,Mon - Fri: 8:00 am ÛÒ 4:00 pm.,312-747-0066,"3059 W. 26th St.
Chicago, IL 60623
(41.84364547069314, -87.7019192211315)",,,,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Neighborhood-Health-Clinics/mw69-m6xi,Chicago,"Neighborhood health clinic locations, hours of operation and contact information.","Adult, Children, Family Case Management, Immigration Physicals, Medication Assistance, Pregnancy Testing, Pregnant Women, Refugee, Women seeking Birth Control",Uptown Neighborhood Health Center,"Mon, Wed, Fri: 8:00 am ÛÒ 4:00 pm; Tue, and Thurs: 10:00 am - 6:00pm",312-744-1938,"845 W. Wilson Ave.
Chicago, IL 60640
(41.96548927279645, -87.65107031162161)",,,,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Neighborhood-Health-Clinics/mw69-m6xi,Chicago,"Neighborhood health clinic locations, hours of operation and contact information.","Adult, Children, Family Case Management, Immigration Physicals, Medication Assistance, Pregnancy Testing, Pregnant Women, Women seeking Birth Control",West Town Neighborhood Health Center,"Mon, Wed, Fri: 8:00 am ÛÒ 4:00 pm; Tue, and Thurs: 10:00 am - 6:00pm",312-744-0943,"2418 W. Division St.
Chicago, IL 60622
(41.90336045343866, -87.68771892628885)",,,,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/STI-Speciality-Clinics/ajzs-akmm,Chicago,"Neighborhood health clinic locations, hours of operation and contact information.",,Englewood STI Specialty Clinic,"Mon., Wed., Fri.: 8 a.m.ÛÒ 4 p.m.; Tue., Thu.: 10 a.m.ÛÒ 6 p.m.",(312) 747-8900,"641 63rd St
Chicago, IL 60621
(41.779780316087795, -87.64157740963851)",(312) 747-0292,,,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/STI-Speciality-Clinics/ajzs-akmm,Chicago,"Neighborhood health clinic locations, hours of operation and contact information.",,South Austin STI Specialty Clinic,"Mon., Wed., Fri.: 8 a.m.ÛÒ 4 p.m.; Tue., Thu.: 10 a.m.ÛÒ 6 p.m.",(312) 746-4871,"4958 Madison
Chicago, IL 60644
(41.880527856700596, -87.74959478619039)",(312) 746-4637,,,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/STI-Speciality-Clinics/ajzs-akmm,Chicago,"Neighborhood health clinic locations, hours of operation and contact information.",,Lakeview STI Specialty Clinic,"Mon., Wed., Fri.: 8 a.m.ÛÒ 4 p.m.; Tue., Thu.: 10 a.m.ÛÒ 6 p.m.",(312) 744-5507,"2861 Clark
Chicago, IL 60657
(41.9342701515857, -87.6456486417582)",(312) 744-2573,,,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/STI-Speciality-Clinics/ajzs-akmm,Chicago,"Neighborhood health clinic locations, hours of operation and contact information.",,West Town STI Specialty Clinic,Tue.: 10 a.m.ÛÒ 6 p.m.; Fri.: 8 a.m.ÛÒ 4 p.m.,(312) 742-4092,"2418 Division
Chicago, IL 60622
(41.90336045343866, -87.68771892628885)",(312) 744-5516,,,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/STI-Speciality-Clinics/ajzs-akmm,Chicago,"Neighborhood health clinic locations, hours of operation and contact information.",,Roseland  STI Specialty Clinic,"Mon., Wed., Fri.: 8 a.m.ÛÒ 4 p.m.; Tue., Thu.: 9 a.m.ÛÒ 5 p.m.",(312) 747-2817,"200 115th St
Chicago, IL 60628
(41.68540464454324, -87.61804579760663)",(312) 747-2851,,,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Women-Infant-Children-Health-Clinics/g85x-gwmp,Chicago,"Women Infant Children (WIC) locations, hours of operation and contact information. WIC is a federally funded program implemented by the City of Chicago Department of Public Health. The program provides nutritious foods and counseling to eligible pregnant, breastfeeding, postpartum women, children and infants. To be eligible for WIC Services, some requirements may apply, go to http://www.cityofchicago.org/city/en/depts/cdph/provdrs/clinic/svcs/apply_for_wic_.html for more information.",,Women Infant Children (WIC) location,Tuesday and Thursday 10:00 pm -  6:00 pm,312-744-0073,"845 Wilson Ave
Chicago, IL 60640
(41.96548927279645, -87.65107031162161)",312-742-1733,,312-744-1365,312-744-1324,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Women-Infant-Children-Health-Clinics/g85x-gwmp,Chicago,"Women Infant Children (WIC) locations, hours of operation and contact information. WIC is a federally funded program implemented by the City of Chicago Department of Public Health. The program provides nutritious foods and counseling to eligible pregnant, breastfeeding, postpartum women, children and infants. To be eligible for WIC Services, some requirements may apply, go to http://www.cityofchicago.org/city/en/depts/cdph/provdrs/clinic/svcs/apply_for_wic_.html for more information.",,Women Infant Children (WIC) location,Tuesday and Thursday 10:00 pm -  6:00 pm,312-744-8118,"2418 Division St
Chicago, IL 60622
(41.90336045343866, -87.68771892628885)",312-742-3415,,312-744-8119,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Women-Infant-Children-Health-Clinics/g85x-gwmp,Chicago,"Women Infant Children (WIC) locations, hours of operation and contact information. WIC is a federally funded program implemented by the City of Chicago Department of Public Health. The program provides nutritious foods and counseling to eligible pregnant, breastfeeding, postpartum women, children and infants. To be eligible for WIC Services, some requirements may apply, go to http://www.cityofchicago.org/city/en/depts/cdph/provdrs/clinic/svcs/apply_for_wic_.html for more information.",,Women Infant Children (WIC) location,,312-747-8126,"3059 26th St
Chicago, IL 60623
(41.84364547069314, -87.7019192211315)",312-745-0286,,312-747-8127,312-747-3020,312-747-3021,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Women-Infant-Children-Health-Clinics/g85x-gwmp,Chicago,"Women Infant Children (WIC) locations, hours of operation and contact information. WIC is a federally funded program implemented by the City of Chicago Department of Public Health. The program provides nutritious foods and counseling to eligible pregnant, breastfeeding, postpartum women, children and infants. To be eligible for WIC Services, some requirements may apply, go to http://www.cityofchicago.org/city/en/depts/cdph/provdrs/clinic/svcs/apply_for_wic_.html for more information.",,Women Infant Children (WIC) location,,312-747-1650,"1643 Cermak St
Chicago, IL 60608
(41.85230748770313, -87.66712719680595)",312-747-1648,,312-747-1651,312-747-1652,312-747-1653,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Women-Infant-Children-Health-Clinics/g85x-gwmp,Chicago,"Women Infant Children (WIC) locations, hours of operation and contact information. WIC is a federally funded program implemented by the City of Chicago Department of Public Health. The program provides nutritious foods and counseling to eligible pregnant, breastfeeding, postpartum women, children and infants. To be eligible for WIC Services, some requirements may apply, go to http://www.cityofchicago.org/city/en/depts/cdph/provdrs/clinic/svcs/apply_for_wic_.html for more information.",,Women Infant Children (WIC) location,,312-746-4797,"49O9 W. Division St. Chicago
IL 60651
(41.902455584585425, -87.74142495592491)",312-746-4799,,312-746-4796,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Women-Infant-Children-Health-Clinics/g85x-gwmp,Chicago,"Women Infant Children (WIC) locations, hours of operation and contact information. WIC is a federally funded program implemented by the City of Chicago Department of Public Health. The program provides nutritious foods and counseling to eligible pregnant, breastfeeding, postpartum women, children and infants. To be eligible for WIC Services, some requirements may apply, go to http://www.cityofchicago.org/city/en/depts/cdph/provdrs/clinic/svcs/apply_for_wic_.html for more information.",,Women Infant Children (WIC) location,,773-702-3719,"800 55th St
Chicago, IL 60615
(41.79501401347434, -87.60623023498907)",773-702-9377,,,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Women-Infant-Children-Health-Clinics/g85x-gwmp,Chicago,"Women Infant Children (WIC) locations, hours of operation and contact information. WIC is a federally funded program implemented by the City of Chicago Department of Public Health. The program provides nutritious foods and counseling to eligible pregnant, breastfeeding, postpartum women, children and infants. To be eligible for WIC Services, some requirements may apply, go to http://www.cityofchicago.org/city/en/depts/cdph/provdrs/clinic/svcs/apply_for_wic_.html for more information.",,Women Infant Children (WIC) location,Tuesday and Thursday 10:00 pm -  6:00 pm,312-747-4814,"641 63rd St
Chicago, IL 60621
(41.779780316087795, -87.64157740963851)",312-745-7654,,312-747-4815,312-747-1241,312-747-1625,312-747-1626,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Women-Infant-Children-Health-Clinics/g85x-gwmp,Chicago,"Women Infant Children (WIC) locations, hours of operation and contact information. WIC is a federally funded program implemented by the City of Chicago Department of Public Health. The program provides nutritious foods and counseling to eligible pregnant, breastfeeding, postpartum women, children and infants. To be eligible for WIC Services, some requirements may apply, go to http://www.cityofchicago.org/city/en/depts/cdph/provdrs/clinic/svcs/apply_for_wic_.html for more information.",,Women Infant Children (WIC) location,,312-747-7969,"2938 89th St
Chicago, IL 60617
(41.733735602176786, -87.55257057910126)",312-745-2576,,312-747-2708,312-747-6839,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Women-Infant-Children-Health-Clinics/g85x-gwmp,Chicago,"Women Infant Children (WIC) locations, hours of operation and contact information. WIC is a federally funded program implemented by the City of Chicago Department of Public Health. The program provides nutritious foods and counseling to eligible pregnant, breastfeeding, postpartum women, children and infants. To be eligible for WIC Services, some requirements may apply, go to http://www.cityofchicago.org/city/en/depts/cdph/provdrs/clinic/svcs/apply_for_wic_.html for more information.",,Women Infant Children (WIC) location,Tuesday and Thursday 10:00 pm -  6:00 pm,312-747-0054,"200 115th St
Chicago, IL 60628
(41.68540464454324, -87.61804579760663)",312-747-4915,,312-747-2829,312-747-2831,312-747-2832,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Women-Infant-Children-Health-Clinics/g85x-gwmp,Chicago,"Women Infant Children (WIC) locations, hours of operation and contact information. WIC is a federally funded program implemented by the City of Chicago Department of Public Health. The program provides nutritious foods and counseling to eligible pregnant, breastfeeding, postpartum women, children and infants. To be eligible for WIC Services, some requirements may apply, go to http://www.cityofchicago.org/city/en/depts/cdph/provdrs/clinic/svcs/apply_for_wic_.html for more information.",,Women Infant Children (WIC) location,,312-744-1027,"2849 Clark St
Chicago, IL 60657
(41.9342701515857, -87.6456486417582)",312-744-5544,,312-744-1129,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Women-Infant-Children-Health-Clinics/g85x-gwmp,Chicago,"Women Infant Children (WIC) locations, hours of operation and contact information. WIC is a federally funded program implemented by the City of Chicago Department of Public Health. The program provides nutritious foods and counseling to eligible pregnant, breastfeeding, postpartum women, children and infants. To be eligible for WIC Services, some requirements may apply, go to http://www.cityofchicago.org/city/en/depts/cdph/provdrs/clinic/svcs/apply_for_wic_.html for more information.",,Women Infant Children (WIC) location,,312-746-8990,"2310 Roosevelt Rd
Chicago, IL 60608
(41.86692891803171, -87.68402271274843)",312-746-7944,,312-746-8799,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Women-Infant-Children-Health-Clinics/g85x-gwmp,Chicago,"Women Infant Children (WIC) locations, hours of operation and contact information. WIC is a federally funded program implemented by the City of Chicago Department of Public Health. The program provides nutritious foods and counseling to eligible pregnant, breastfeeding, postpartum women, children and infants. To be eligible for WIC Services, some requirements may apply, go to http://www.cityofchicago.org/city/en/depts/cdph/provdrs/clinic/svcs/apply_for_wic_.html for more information.",,Women Infant Children (WIC) location,9:00 am - 5:00 pm,773-843-4220,"2355 Western Ave
Chicago, IL 60608
(41.84872664015868, -87.68514686528506)",773-650-1232,,773-843-4221,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Women-Infant-Children-Health-Clinics/g85x-gwmp,Chicago,"Women Infant Children (WIC) locations, hours of operation and contact information. WIC is a federally funded program implemented by the City of Chicago Department of Public Health. The program provides nutritious foods and counseling to eligible pregnant, breastfeeding, postpartum women, children and infants. To be eligible for WIC Services, some requirements may apply, go to http://www.cityofchicago.org/city/en/depts/cdph/provdrs/clinic/svcs/apply_for_wic_.html for more information.",,Women Infant Children (WIC) location,,312-747-5415,"4150 55th St
Chicago, IL 60632
(41.79322143469052, -87.72719722165824)",312-745-1435,,312-747-5416 ,312-745-0062,312-745-0064,312-745-0065,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Women-Infant-Children-Health-Clinics/g85x-gwmp,Chicago,"Women Infant Children (WIC) locations, hours of operation and contact information. WIC is a federally funded program implemented by the City of Chicago Department of Public Health. The program provides nutritious foods and counseling to eligible pregnant, breastfeeding, postpartum women, children and infants. To be eligible for WIC Services, some requirements may apply, go to http://www.cityofchicago.org/city/en/depts/cdph/provdrs/clinic/svcs/apply_for_wic_.html for more information.",,Women Infant Children (WIC) location,9:00 AM - 5:00 PM,312-225-1982 ,"2850 Michigan Ave
Chicago, IL 60616
(41.842278501208604, -87.62401095373325)",312-225-6324 ,,312-949-2132,312-949-2156 ,312-949-2129,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Women-Infant-Children-Health-Clinics/g85x-gwmp,Chicago,"Women Infant Children (WIC) locations, hours of operation and contact information. WIC is a federally funded program implemented by the City of Chicago Department of Public Health. The program provides nutritious foods and counseling to eligible pregnant, breastfeeding, postpartum women, children and infants. To be eligible for WIC Services, some requirements may apply, go to http://www.cityofchicago.org/city/en/depts/cdph/provdrs/clinic/svcs/apply_for_wic_.html for more information.",,Women Infant Children (WIC) location,"Tuesday, Thursday and Friday",773-782-8902,"2840 Fullerton Ave
Chicago, IL 60647
(41.92508807366655, -87.69914031606096)",773-395-9608,773-395-2147,773-782-8901,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Women-Infant-Children-Health-Clinics/g85x-gwmp,Chicago,"Women Infant Children (WIC) locations, hours of operation and contact information. WIC is a federally funded program implemented by the City of Chicago Department of Public Health. The program provides nutritious foods and counseling to eligible pregnant, breastfeeding, postpartum women, children and infants. To be eligible for WIC Services, some requirements may apply, go to http://www.cityofchicago.org/city/en/depts/cdph/provdrs/clinic/svcs/apply_for_wic_.html for more information.",,Women Infant Children (WIC) location,,773-522-0716,"2400 Kedzie Ave
Chicago, IL 60623
(41.84798919609465, -87.7053906041646)",773-522-7605,,773-522-0780,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Women-Infant-Children-Health-Clinics/g85x-gwmp,Chicago,"Women Infant Children (WIC) locations, hours of operation and contact information. WIC is a federally funded program implemented by the City of Chicago Department of Public Health. The program provides nutritious foods and counseling to eligible pregnant, breastfeeding, postpartum women, children and infants. To be eligible for WIC Services, some requirements may apply, go to http://www.cityofchicago.org/city/en/depts/cdph/provdrs/clinic/svcs/apply_for_wic_.html for more information.",,Women Infant Children (WIC) location,,312-432-7372 ,"1701 Superior St
Chicago, IL 60610
(41.894852867041486, -87.67004724841311)",312-666-6228,,,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Women-Infant-Children-Health-Clinics/g85x-gwmp,Chicago,"Women Infant Children (WIC) locations, hours of operation and contact information. WIC is a federally funded program implemented by the City of Chicago Department of Public Health. The program provides nutritious foods and counseling to eligible pregnant, breastfeeding, postpartum women, children and infants. To be eligible for WIC Services, some requirements may apply, go to http://www.cityofchicago.org/city/en/depts/cdph/provdrs/clinic/svcs/apply_for_wic_.html for more information.",,Women Infant Children (WIC) location,,773-761-0011 ext. 116,"2424 Peterson Ave
Chicago, IL 60659
(41.99055703684789, -87.69067685343931)",773-761-0008,,,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Women-Infant-Children-Health-Clinics/g85x-gwmp,Chicago,"Women Infant Children (WIC) locations, hours of operation and contact information. WIC is a federally funded program implemented by the City of Chicago Department of Public Health. The program provides nutritious foods and counseling to eligible pregnant, breastfeeding, postpartum women, children and infants. To be eligible for WIC Services, some requirements may apply, go to http://www.cityofchicago.org/city/en/depts/cdph/provdrs/clinic/svcs/apply_for_wic_.html for more information.",,Women Infant Children (WIC) location,,312-747-9140 ,"333 State St
Chicago, IL 60604
(41.87753192475716, -87.62721254015756)",312-747-8799,,312-747-9141,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Mental-Health-Clinics/v56e-cy8y,Chicago,"City of Chicago Mental Health Clinic locations, hours of operation and contact information.",,Auburn Gresham MHC,Mon - Fri: 8:30 am ÛÒ 4:30 pm,(312) 747-0881,"1140 79th St
Chicago, IL 60620
(41.750601613541754, -87.65285221121289)",,,,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Mental-Health-Clinics/v56e-cy8y,Chicago,"City of Chicago Mental Health Clinic locations, hours of operation and contact information.",,Back of the Yards MHC,Mon - Fri: 8:30 am ÛÒ 4:30 pm,(312) 747-3560,"4313 Ashland
Chicago, IL 60609
(41.81565842031165, -87.66501123178415)",,,,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Mental-Health-Clinics/v56e-cy8y,Chicago,"City of Chicago Mental Health Clinic locations, hours of operation and contact information.",,Beverly Morgan Park MHC,Mon - Fri: 8:30 am ÛÒ 4:30 pm,(312) 747-1100,"1987 111th St
Chicago, IL 60643
(41.691914872576575, -87.67176474444335)",,,,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Mental-Health-Clinics/v56e-cy8y,Chicago,"City of Chicago Mental Health Clinic locations, hours of operation and contact information.",,Englewood MHC,Mon - Fri: 8:30 am ÛÒ 4:30 pm,(312) 747-7496,"641 63rd St
Chicago, IL 60621
(41.779780316087795, -87.64157740963851)",,,,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Mental-Health-Clinics/v56e-cy8y,Chicago,"City of Chicago Mental Health Clinic locations, hours of operation and contact information.",,Greater Grand/MID-South MHC ,Mon - Fri: 8:30 am ÛÒ 4:30 pm,(312) 747-0036,"4314 Cottage Grove
Chicago, IL 60653
(41.82046891505544, -87.60677199999999)",,,,,,,,,,,,,
https://data.cityofchicago.org/Health-Human-Services/Mental-Health-Clinics/v56e-cy8y,Chicago,"City of Chicago Mental Health Clinic locations, hours of operation and contact information.",,Greater Lawn MHC,Mon - Fri: 8:30 am ÛÒ 4:30 pm,(312) 747-1020,"4150 55th Street
Chicago, IL 60632
(41.79322143469052, -87.72719722165824)",,,,,,,,,,,,,
