ID,Name,Hours,Phone,Address,Latitude,Longitude
20,Pilsen,,312-743-0493,"2021 Morgan Street
Chicago, IL 60608
",41.855146,-87.651544
21,Englewood Neighborhood Health Clinic,,312-747-7831,"641 W. 63rd St.
Chicago, IL 60621
",41.7797803161,-87.6415774096
22,Lower West Neighborhood Health Clinic,,312-746-5157,"1713 S. Ashland Ave.
Chicago, IL 60608
",41.858594182,-87.6660674614
23,Roseland Neighborhood Health Clinic,,312-747-9500,"200 E. 115th St.
Chicago, IL 60628
",41.6854046445,-87.6180457976
24,South Chicago Women & Children Health Center,,312-747-5285,"2938 E. 89th St.
Chicago, IL 60617
",41.7337356022,-87.5525705791
25,South Lawndale Women & Children Health Center,,312-747-0066,"3059 W. 26th St.
Chicago, IL 60623
",41.8436454707,-87.7019192211
26,Uptown Neighborhood Health Center,,312-744-1938,"845 W. Wilson Ave.
Chicago, IL 60640
",41.9654892728,-87.6510703116
27,West Town Neighborhood Health Center,,312-744-0943,"2418 W. Division St.
Chicago, IL 60622
",41.9033604534,-87.6877189263
28,Englewood STI Specialty Clinic,,(312) 747-8900,"641 63rd St
Chicago, IL 60621
",41.7797803161,-87.6415774096
29,South Austin STI Specialty Clinic,,(312) 746-4871,"4958 Madison
Chicago, IL 60644
",41.8805278567,-87.7495947862
30,Lakeview STI Specialty Clinic,,(312) 744-5507,"2861 Clark
Chicago, IL 60657
",41.9342701516,-87.6456486418
31,West Town STI Specialty Clinic,,(312) 742-4092,"2418 Division
Chicago, IL 60622
",41.9033604534,-87.6877189263
32,Roseland  STI Specialty Clinic,,(312) 747-2817,"200 115th St
Chicago, IL 60628
",41.6854046445,-87.6180457976
33,Women Infant Children (WIC) location,,312-744-0073,"845 Wilson Ave
Chicago, IL 60640
",41.9654892728,-87.6510703116
34,Women Infant Children (WIC) location,,312-744-8118,"2418 Division St
Chicago, IL 60622
",41.9033604534,-87.6877189263
35,Women Infant Children (WIC) location,,312-747-8126,"3059 26th St
Chicago, IL 60623
",41.8436454707,-87.7019192211
36,Women Infant Children (WIC) location,,312-747-1650,"1643 Cermak St
Chicago, IL 60608
",41.8523074877,-87.6671271968
37,Women Infant Children (WIC) location,,312-746-4797,"49O9 W. Division St. Chicago
IL 60651
",41.9024555846,-87.7414249559
38,Women Infant Children (WIC) location,,773-702-3719,"800 55th St
Chicago, IL 60615
",41.7950140135,-87.606230235
39,Women Infant Children (WIC) location,,312-747-4814,"641 63rd St
Chicago, IL 60621
",41.7797803161,-87.6415774096
40,Women Infant Children (WIC) location,,312-747-7969,"2938 89th St
Chicago, IL 60617
",41.7337356022,-87.5525705791
41,Women Infant Children (WIC) location,,312-747-0054,"200 115th St
Chicago, IL 60628
",41.6854046445,-87.6180457976
42,Women Infant Children (WIC) location,,312-744-1027,"2849 Clark St
Chicago, IL 60657
",41.9342701516,-87.6456486418
43,Women Infant Children (WIC) location,,312-746-8990,"2310 Roosevelt Rd
Chicago, IL 60608
",41.866928918,-87.6840227127
44,Women Infant Children (WIC) location,,773-843-4220,"2355 Western Ave
Chicago, IL 60608
",41.8487266402,-87.6851468653
45,Women Infant Children (WIC) location,,312-747-5415,"4150 55th St
Chicago, IL 60632
",41.7932214347,-87.7271972217
46,Women Infant Children (WIC) location,,312-225-1982 ,"2850 Michigan Ave
Chicago, IL 60616
",41.8422785012,-87.6240109537
47,Women Infant Children (WIC) location,,773-782-8902,"2840 Fullerton Ave
Chicago, IL 60647
",41.9250880737,-87.6991403161
48,Women Infant Children (WIC) location,,773-522-0716,"2400 Kedzie Ave
Chicago, IL 60623
",41.8479891961,-87.7053906042
49,Women Infant Children (WIC) location,,312-432-7372 ,"1701 Superior St
Chicago, IL 60610
",41.894852867,-87.6700472484
50,Women Infant Children (WIC) location,,773-761-0011 ext. 116,"2424 Peterson Ave
Chicago, IL 60659
",41.9905570368,-87.6906768534
51,Women Infant Children (WIC) location,,312-747-9140 ,"333 State St
Chicago, IL 60604
",41.8775319248,-87.6272125402
52,Auburn Gresham MHC,,(312) 747-0881,"1140 79th St
Chicago, IL 60620
",41.7506016135,-87.6528522112
53,Back of the Yards MHC,,(312) 747-3560,"4313 Ashland
Chicago, IL 60609
",41.8156584203,-87.6650112318
54,Beverly Morgan Park MHC,,(312) 747-1100,"1987 111th St
Chicago, IL 60643
",41.6919148726,-87.6717647444
55,Englewood MHC,,(312) 747-7496,"641 63rd St
Chicago, IL 60621
",41.7797803161,-87.6415774096
56,Greater Grand/MID-South MHC ,,(312) 747-0036,"4314 Cottage Grove
Chicago, IL 60653
",41.8204689151,-87.606772
57,Greater Lawn MHC,,(312) 747-1020,"4150 55th Street
Chicago, IL 60632
",41.7932214347,-87.7271972217
58,Lawndale MHC  ,,(312) 746-5905,"1201 Campbell St
Chicago, IL 60608
",41.8653461113,-87.6884923432
59,North River MHC,,(312) 744-1906,"5801 Pulaski Road
Chicago, IL 60646
",41.9863493809,-87.7284963041
60,Northtown Rogers Park,,(312) 744-7617,"1607 Howard St
Chicago, IL 60626
",42.0191121918,-87.6714861637
61,Northwest MHC ,,(312) 744-0993,"2354 Milwaukee
Chicago, IL 60647
",41.9239909008,-87.6994730652
62,Roseland MHC,,(312) 747-7320,"200 115th Street
Chicago, IL 60628
",41.6854046445,-87.6180457976
63,Woodlawn MHC,,(312) 747-0059,"6337 Woodlawn Ave
Chicago, IL 60637
",41.7792233021,-87.5961189076
64,"Matsumoto, Michael Y., D.D.S.",,,"30 Michigan Ave
Chicago, IL
",41.8824406062,-87.6245123416
65,"Bittmann, Brant W., D.D.S.",,,"201 Huron St
Chicago, IL
",41.8949468991,-87.6226713202
66,Northwestern Dental Center,,,"201 Huron St
Chicago, IL
",41.8949468991,-87.6226713202
67,Impressions Dental,,,"1439 Fullerton Ave
Chicago, IL
",41.925186912,-87.6647027332
68,Dental Experts,,,"4039 North Ave
Chicago, IL
",41.8782499997,-87.6260679999
69,"Sonrisa Dental, P.C.",,,"2001 California
Chicago, IL
",41.8782499997,-87.6260679999
70,Dental Shine,,,"2902 63rd St
Chicago, IL
",41.7791122473,-87.6959479988
71,"Cappello, Joseph V., D.D.S.",,,"4157 Archer Ave
Chicago, IL 60632
",41.8180182393,-87.6978887765
72,"Jaconetti, Daniel, D.D.S.",,,"7601 Montrose
Chicago, IL
",41.8782499997,-87.6260679999
73,"Salamah, Rabeh Mohammad, D.D.S.",,,"3138 Narragansett
Chicago, IL
",41.8782499997,-87.6260679999
74,Brite Dental,,,"4849 Belmont
Chicago, IL
",41.8782499997,-87.6260679999
75,Armitage Oral Surgery,,,"2220 Armitage Ave
Chicago, IL
",41.9176875425,-87.6830361222
76,"Grinter, Jason M., D.D.S.",,,"1550 Cornelia Ave
Chicago, IL
",41.9452187788,-87.6677461507
77,Department of Human Services Main Office - Chicago,,8008436154,"Chicago, IL
",41.8782499997,-87.6260679999
78,Community Alternatives Unlimited,,7738674000,"Chicago, IL
",41.8782499997,-87.6260679999
79,Community Service Options,,8882764467,"Chicago, IL
",41.8782499997,-87.6260679999
80,Child and Family Connections (CFC 11),,3129427800,"Chicago, IL
",41.8782499997,-87.6260679999
81,Easter Seals Society of Metropolitan Chicago (CFC 8),,7732331799,"Chicago, IL
",41.8782499997,-87.6260679999
82,Hektoen Institute for Medical Research Cook County ChildrenÌ s Hospital (CFC 9),,3128646575,"Chicago, IL
",41.8782499997,-87.6260679999
83,LaRabida ChildrenÌ s Hospital (CFC 10),,7733247434,"Chicago, IL
",41.8782499997,-87.6260679999
84,Advocate Northside,,7732963220,"Chicago, IL
",41.8782499997,-87.6260679999
85,Asian Human Services,,7737282235,"Chicago, IL
",41.8782499997,-87.6260679999
86,Association House,,7737728009,"Chicago, IL
",41.8782499997,-87.6260679999
87,Auburn Gresham MHC,,3127470881,"Chicago, IL
",41.8782499997,-87.6260679999
88,Beverly Morgan Park MHC,,3127471100,"Chicago, IL
",41.8782499997,-87.6260679999
89,Bobby E Wright MHC,,7737227900,"Chicago, IL
",41.8782499997,-87.6260679999
90,Circle Family Care,,7733791000,"Chicago, IL
",41.8782499997,-87.6260679999
91,Community Counseling Centers of Chicago (C-4),,7737690205,"Chicago, IL
",41.8782499997,-87.6260679999
92,Community Mental Health Council,,7737344033,"Chicago, IL
",41.8782499997,-87.6260679999
93,Counseling Center of Lake View,,7735495886,"Chicago, IL
",41.8782499997,-87.6260679999
94,Division of Mental Health - Region One North,,7737945525,"Chicago, IL
",41.8782499997,-87.6260679999
95,Englewood MHC,,3127477496,"Chicago, IL
",41.8782499997,-87.6260679999
96,Greater Grand MHC,,3127470036,"Chicago, IL
",41.8782499997,-87.6260679999
97,Greater Lawn MHC,,3127471020,"Chicago, IL
",41.8782499997,-87.6260679999
98,Heartland Health Outreach,,7737514103,"Chicago, IL
",41.8782499997,-87.6260679999
99,Lawndale MHC,,3127465905,"Chicago, IL
",41.8782499997,-87.6260679999
100,Loretto Hospital,,7738545290,"Chicago, IL
",41.8782499997,-87.6260679999
101,Lutheran Social Services of Illinois,,7737747555,"Chicago, IL
",41.8782499997,-87.6260679999
102,Mercy Hospital,,3125672291,"Chicago, IL
",41.8782499997,-87.6260679999
103,Metro Child and Adolescent Network,,7737944895,"Chicago, IL
",41.8782499997,-87.6260679999
104,Metropolitan Family Services,,7733712900,"Chicago, IL
",41.8782499997,-87.6260679999
105,Mt Sinai/Mile Square,,3128505800,"Chicago, IL
",41.8782499997,-87.6260679999
106,North River MHC,,3127441906,"Chicago, IL
",41.8782499997,-87.6260679999
107,Northtown Rogers Park MHC,,3127447617,"Chicago, IL
",41.8782499997,-87.6260679999
108,Northwest Community Mental Health Center,,3127440993,"Chicago, IL
",41.8782499997,-87.6260679999
109,Northwestern Memorial Hospital,,3129268200,"Chicago, IL
",41.8782499997,-87.6260679999
110,Pilsen-Little Village MHC,,3122261120,"Chicago, IL
",41.8782499997,-87.6260679999
111,Resurrection Healthcare/St Mary of Nazareth,,3127702606,"Chicago, IL
",41.8782499997,-87.6260679999
112,Roseland Mental Health Center,,3127477320,"Chicago, IL
",41.8782499997,-87.6260679999
113,Thresholds,,7733278668,"Chicago, IL
",41.8782499997,-87.6260679999
114,Trilogy,,7735086100,"Chicago, IL
",41.8782499997,-87.6260679999
115,Woodlawn MHC,,3127470059,"Chicago, IL
",41.8782499997,-87.6260679999
116,"Bethel New Life, Inc.",,7732613533,"CHICAGO, IL
",41.8782499997,-87.6260679999
117,"Bethel New Life, Inc.",,7739215112,"Chicago, IL
",41.8782499997,-87.6260679999
118,"Bethel New Life, Inc.",,7732767028,"Chicago, IL
",41.8782499997,-87.6260679999
119,"Bethel New Life, Inc.",,7738269620,"Chicago, IL
",41.8782499997,-87.6260679999
120,Chicago Department of Public Health,,3127471650,"Chicago, IL
",41.8782499997,-87.6260679999
121,Chicago Department of Public Health,,3127468990,"CHICAGO, IL
",41.8782499997,-87.6260679999
122,Chicago Department of Public Health,,7738434221,"Chicago, IL
",41.8782499997,-87.6260679999
123,Chicago Department of Public Health,,3126663494,"Chicago, IL
",41.8782499997,-87.6260679999
124,Chicago Department of Public Health,,7737023719,"Chicago, IL
",41.8782499997,-87.6260679999
125,Chicago Department of Public Health,,3129492129,"Chicago, IL
",41.8782499997,-87.6260679999
126,Chicago Department of Public Health,,3127477969,"Chicago, IL
",41.8782499997,-87.6260679999
127,Chicago Department of Public Health,,7738742870,"Chicago, IL
",41.8782499997,-87.6260679999
128,Chicago Department of Public Health,,3127474814,"Chicago, IL
",41.8782499997,-87.6260679999
129,Chicago Department of Public Health,,3127448118,"Chicago, IL
",41.8782499997,-87.6260679999
130,Chicago Department of Public Health,,7735220716,"Chicago, IL
",41.8782499997,-87.6260679999
131,Chicago Department of Public Health,,3127478126,"Chicago, IL
",41.8782499997,-87.6260679999
132,Chicago Department of Public Health,,3127470054,"Chicago, IL
",41.8782499997,-87.6260679999
133,Chicago Department of Public Health,,3127475415,"Chicago, IL
",41.8782499997,-87.6260679999
134,Chicago Department of Public Health,,3127440073,"Chicago, IL
",41.8782499997,-87.6260679999
135,Chicago Department of Public Health,,7737828902,"Chicago, IL
",41.8782499997,-87.6260679999
136,Chicago Department of Public Health,,3127464797,"Chicago, IL
",41.8782499997,-87.6260679999
137,Chicago Department of Public Health,,3127441027,"Chicago, IL
",41.8782499997,-87.6260679999
138,Community and Economic Development Association of Cook County,,7087542788,"Chicago Heights, IL
",41.5102569999,-87.6416010004
139,Community and Economic Development Association of Cook County,,7087544576,"Chicago Hts, IL
",41.5102569999,-87.6416010004
140,Community and Economic Development Association of Cook County,,7738780578,"Chicago, IL
",41.8782499997,-87.6260679999
141,Community and Economic Development Association of Cook County,,7733387334,"Chicago, IL
",41.8782499997,-87.6260679999
142,Community and Economic Development Association of Cook County,,7735457159,"Chicago, IL
",41.8782499997,-87.6260679999
143,Community and Economic Development Association of Cook County,,7736851507,"Chicago, IL
",41.8782499997,-87.6260679999
144,Cook County Bureau of Health Services,,3124217326,"Chicago, IL
",41.8782499997,-87.6260679999
145,Cook County Bureau of Health Services,,3128646420,"Chicago, IL
",41.8782499997,-87.6260679999
146,Cook County Bureau of Health Services,,7735210750,"Chicago, IL
",41.8782499997,-87.6260679999
147,Cook County Department of Public Health,,7087535900,"Chicago Heights, IL
",41.5102569999,-87.6416010004
148,DuPage County Health Department,,,"West Chicago, IL
",41.8813662001,-88.2189868997
149,Lake County Health Department and Community Health Center,,8479845250,"North Chicago, IL
",42.3193330004,-87.8573630002
150,Mile Square Health Center,,3129962000,"Chicago, IL
",41.8782499997,-87.6260679999
151,Near North Health Service Corporation,,3123371415,"Chicago, IL
",41.8782499997,-87.6260679999
152,Near North Health Service Corporation,,7732278022,"Chicago, IL
",41.8782499997,-87.6260679999
153,Near North Health Service Corporation,,7738624890,"Chicago, IL
",41.8782499997,-87.6260679999
154,Near North Health Service Corporation,,7738263450,"Chicago, IL
",41.8782499997,-87.6260679999
155,Near North Health Service Corporation,,7732687600,"Chicago, IL
",41.8782499997,-87.6260679999
156,"New City Health Center, Inc.",,7733767688,"Chicago, IL
",41.8782499997,-87.6260679999
157,"New City Health Center, Inc.",,7737375400,"Chicago, IL
",41.8782499997,-87.6260679999
158,Roseland Community Hospital,,7739951737,"CHICAGO, IL
",41.8782499997,-87.6260679999
159,Sinai Community Institute,,7732576246,"Chicago, IL
",41.8782499997,-87.6260679999
160,Sinai Community Institute,,7737625757,"Chicago, IL
",41.8782499997,-87.6260679999
161,Sinai Community Institute,,7736503226,"Chicago, IL
",41.8782499997,-87.6260679999
162,Sinai Community Institute,,7737221072,"Chicago, IL
",41.8782499997,-87.6260679999
163,"TCA Health Inc., NFP",,7734883048,"Chicago, IL
",41.8782499997,-87.6260679999
164,"TCA Health Inc., NFP",,7739956320,"Chicago, IL
",41.8782499997,-87.6260679999
165,"TCA Health Inc., NFP",,7733632500,"Chicago, IL
",41.8782499997,-87.6260679999
166,ACCESS COMMUNITY HEALTH NETWORK,,7732572280,"Chicago, IL
",41.8782499997,-87.6260679999
167,AUNT MARTHAÌ S YOUTH SERVICE CENTER,,7087097372,"Chicago Heights, IL
",41.5102569999,-87.6416010004
168,CHICAGO DEPARTMENT OF PUBLIC HEALTH,,3127479878,"Chicago, IL
",41.8782499997,-87.6260679999
169,Chicago Dept. of Public Health Englewood Clinic,,3127477831,"Chicago, IL
",41.8782499997,-87.6260679999
170,Chicago Dept. of Public Health Lower West Clinic,,3127464717,"Chicago, IL
",41.8782499997,-87.6260679999
171,Chicago Dept. of Public Health Roseland Clinic,,3127479500,"Chicago, IL
",41.8782499997,-87.6260679999
172,Chicago Dept. of Public Health South Chicago,,3127475285,"Chicago, IL
",41.8782499997,-87.6260679999
173,Chicago Dept. of Public Health South Lawndale,,3127470066,"Chicago, IL
",41.8782499997,-87.6260679999
174,Chicago Dept. of Public Health Uptown Clinic,,3127471938,"Chicago, IL
",41.8782499997,-87.6260679999
175,Chicago Dept. of Public Health West Town Clinic,,3127447448,"Chicago, IL
",41.8782499997,-87.6260679999
176,COOK COUNTY/STROGER HOSPITAL/FANTUS,,3128640875,"Chicago, IL
",41.8782499997,-87.6260679999
177,ERIE FAMILY HEALTH CENTER,,3126663494,"Chicago, IL
",41.8782499997,-87.6260679999
178,Erie Teen Health Center,,3124912400,"Chicago, IL
",41.8782499997,-87.6260679999
179,Family Planning Program,,7732967050,"Chicago, IL
",41.8782499997,-87.6260679999
180,Fantus Health Center,,3128646016,"Chicago, IL
",41.8782499997,-87.6260679999
181,ILLINOIS MASONIC MEDICAL CENTER,,7732967050,"Chicago, IL
",41.8782499997,-87.6260679999
182,Infant Welfare Society of Chicago,,7737822800,"Chicago, IL
",41.8782499997,-87.6260679999
183,Lake CHD and Community Health Center,,8479845200,"North Chicago, IL
",42.3193330004,-87.8573630002
184,MICHAEL REESE HOSPITAL FAMILY PLANNING PROGRAM,,3127912830,"Chicago, IL
",41.8782499997,-87.6260679999
185,"Michael Reese Hospital, 6 Kaplan",,3127912830,"Chicago, IL
",41.8782499997,-87.6260679999
186,PLANNED PARENTHOOD/CHICAGO AREA,,3125926800,"Chicago, IL
",41.8782499997,-87.6260679999
187,PP/Chicago Area Austin Health Center,,7732872020,"Chicago, IL
",41.8782499997,-87.6260679999
188,PP/Chicago Area Englewood Health Center,,7734343700,"Chicago, IL
",41.8782499997,-87.6260679999
189,PP/Chicago Area Roseland Health Center,,7734681600,"Chicago, IL
",41.8782499997,-87.6260679999
190,Rush Adolescent Family Center,,3129422777,"Chicago, IL
",41.8782499997,-87.6260679999
191,RUSH UNIVERSITY MEDICAL CENTER,,3129422777,"Chicago, IL
",41.8782499997,-87.6260679999
192,University of Illinois at Chicago,,3124133836,"Chicago, IL
",41.8782499997,-87.6260679999
193,"University of Illinois at Chicago Center for WomenÌ s Health, M/C 650",,3124137500,"Chicago, IL
",41.8782499997,-87.6260679999
194,"University of Illinois at Chicago Mile Square Health Center, M/C 698",,3129962000,"Chicago, IL
",41.8782499997,-87.6260679999
195,University of Illinois at Chicago South Shore Mile Square,,7732560526,"Chicago, IL
",41.8782499997,-87.6260679999
196,West Chicago Public Health Center,,6306827979,"West Chicago, IL
",41.8813662001,-88.2189868997
197,WomenÌ s Health Center,,7087097470,"Chicago Heights, IL
",41.5102569999,-87.6416010004
198,Action for Children,,3128231100,"Chicago, IL
",41.8782499997,-87.6260679999
199,Action for Children,,3128231100,"Chicago, IL
",41.8782499997,-87.6260679999
200,DHS Family Community Resource Center in Cook County - Austin,,7738546300,"Chicago, IL
",41.8782499997,-87.6260679999
201,DHS Family Community Resource Center in Cook County - Calumet Park,,7736604700,"Chicago, IL
",41.8782499997,-87.6260679999
202,DHS Family Community Resource Center in Cook County - Englewood,,7739186700,"Chicago, IL
",41.8782499997,-87.6260679999
203,DHS Family Community Resource Center in Cook County - Garfield,,7732657740,"Chicago, IL
",41.8782499997,-87.6260679999
204,DHS Family Community Resource Center in Cook County - Humboldt Park,,7732927200,"Chicago, IL
",41.8782499997,-87.6260679999
205,DHS Family Community Resource Center in Cook County - Lower North,,7736387373,"Chicago, IL
",41.8782499997,-87.6260679999
206,DHS Family Community Resource Center in Cook County - Medical Field Operations,,3127938000,"Chicago, IL
",41.8782499997,-87.6260679999
207,DHS Family Community Resource Center in Cook County - Michigan,,3127937500,"Chicago, IL
",41.8782499997,-87.6260679999
208,DHS Family Community Resource Center in Cook County - Northwest,,7732657000,"Chicago, IL
",41.8782499997,-87.6260679999
209,DHS Family Community Resource Center in Cook County - Oakland ,,7735794200,"Chicago, IL
",41.8782499997,-87.6260679999
210,DHS Family Community Resource Center in Cook County - Park Manor,,7738636100,"Chicago, IL
",41.8782499997,-87.6260679999
211,DHS family Community Resource Center in Cook County - Roseland,,7736607000,"Chicago, IL
",41.8782499997,-87.6260679999
212,DHS Family Community Resource Center in Cook County - Southeast ,,7736024200,"Chicago, IL
",41.8782499997,-87.6260679999
213,DHS Family Community Resource Center in Cook County - Special Units ,,7739074100,"Chicago, IL
",41.8782499997,-87.6260679999
214,DHS Family Community Resource Center in Cook County - Uptown ,,7739074100,"Chicago, IL
",41.8782499997,-87.6260679999
215,DHS Family Community Resource Center in Cook County - Western ,,7735228370,"Chicago, IL
",41.8782499997,-87.6260679999
216,DHS Family Community Resource Center in Cook County - Wicker Park ,,7732922900,"Chicago, IL
",41.8782499997,-87.6260679999
217,DHS Family Community Resource Center in Cook County - Woodlawn,,7737535200,"Chicago, IL
",41.8782499997,-87.6260679999
218,Food Stamp Employment and Training Office,,7738636300,"Chicago, IL
",41.8782499997,-87.6260679999
219,Avalon Park DRS Office,,7737686700,"Chicago, IL
",41.8782499997,-87.6260679999
220,Chicago Heights DRS Office,,7087093333,"Chicago Heights, IL
",41.5102569999,-87.6416010004
221,Ford City DRS Office,,7738385745,"Chicago, IL
",41.8782499997,-87.6260679999
222,Hiawatha DRS Office,,7737944800,"Chicago, IL
",41.8782499997,-87.6260679999
223,ICRE Wood DRS Office,,3126333570,"Chicago, IL
",41.8782499997,-87.6260679999
224,Illinois Institute of Technology DRS Office,,3123282900,"Chicago, IL
",41.8782499997,-87.6260679999
225,Milwaukee Avenue DRS Office,,7732924400,"Chicago, IL
",41.8782499997,-87.6260679999
226,North Pulaski DRS Office,,7736383070,"Chicago, IL
",41.8782499997,-87.6260679999
227,South Pulaski DRS Office,,7738385660,"Chicago, IL
",41.8782499997,-87.6260679999
228,Illinois Center for Rehabilitation & Education - Roosevelt,,3124333100,"Chicago, IL
",41.8782499997,-87.6260679999
229,Chicago Read Mental Health Center,,7737944000,"Chicago, IL
",41.8782499997,-87.6260679999
230,Access Community Health Network,,7738263826,"Chicago, IL
",41.8782499997,-87.6260679999
231,Alivio Medical Center,,7736501229,"Chicago, IL
",41.8782499997,-87.6260679999
232,Aunt Martha's Youth Service Center,,7087541044,"Chicago Heights, IL
",41.5102569999,-87.6416010004
233,Austin Peoples Action Center,,7734737272,"Chicago, IL
",41.8782499997,-87.6260679999
234,"Bethel New Life, Inc.",,7732613533,"Chicago, IL
",41.8782499997,-87.6260679999
235,Catholic Charities,,7734747223,"Chicago, IL
",41.8782499997,-87.6260679999
236,Chicago Department of Public Health,,3127479698,"Chicago, IL
",41.8782499997,-87.6260679999
237,Chicago Family Health Center,,7733566250,"Chicago, IL
",41.8782499997,-87.6260679999
238,Chicago Urban League,,7736248815,"Chicago, IL
",41.8782499997,-87.6260679999
239,Community Alternatives Unlimited,,7738674072,"Chicago, IL
",41.8782499997,-87.6260679999
240,Community and Economic Development Assn.,,3127958878,"Chicago, IL
",41.8782499997,-87.6260679999
241,El Hogar del Nino,,3128295419,"Chicago, IL
",41.8782499997,-87.6260679999
242,"Erie Family Health Center, Inc.",,3124327329,"Chicago, IL
",41.8782499997,-87.6260679999
243,Firman Community Services,,7733733400,"Chicago, IL
",41.8782499997,-87.6260679999
244,Henry Booth House,,3129492133,"CHICAGO, IL
",41.8782499997,-87.6260679999
245,"Human Resources Development Institute, Inc.",,3124419009,"CHICAGO, IL
",41.8782499997,-87.6260679999
246,"Human Resources Development Institute, Inc. - North",,7735290370,"CHICAGO, IL
",41.8782499997,-87.6260679999
247,"Human Resources Development Institute, Inc. - South",,7738631452,"CHICAGO, IL
",41.8782499997,-87.6260679999
248,Lawndale Christian Health Center,,7738433000,"CHICAGO, IL
",41.8782499997,-87.6260679999
249,Mercy Family Health Center,,3125677902,"CHICAGO, IL
",41.8782499997,-87.6260679999
250,Near North Health Services,,3123371073,"CHICAGO, IL
",41.8782499997,-87.6260679999
251,New City Health Center,,7737375400,"CHICAGO, IL
",41.8782499997,-87.6260679999
252,Salvation Army Child Care,,3124210327,"CHICAGO, IL
",41.8782499997,-87.6260679999
253,Sinai Community Institute,,7732576508,"CHICAGO, IL
",41.8782499997,-87.6260679999
254,The Woodlawn Organization,,7737520911,"CHICAGO, IL
",41.8782499997,-87.6260679999
255,West Side Future (Near West Family Center),,3124402452,"CHICAGO, IL
",41.8782499997,-87.6260679999
256,Westside Association for Community Action,,7737625757,"CHICAGO, IL
",41.8782499997,-87.6260679999
257,Westside Holistic Family Services,,7732658861,"CHICAGO, IL
",41.8782499997,-87.6260679999
258,Cook County Building,,312-443-5500,"118 Clark
Chicago, IL 60601
",41.8853650158,-87.6165592503
259,Daley Center,,312-443-5500,"50 Washington
Chicago, IL 60606
",41.8826472034,-87.6369929552
260,County Admin Offices,,312-443-5500,"69 Washington
Chicago, IL 60602
",41.8832102127,-87.6253145725
261,Pension & Annuity Board,,312-603-1200,"33 Dearborn
Chicago, IL 60602
",41.8827076416,-87.6293666209
262,Employee Assistance,,312-603-1290,"221 LaSalle
Chicago, IL 60601
",41.8864224419,-87.6323638137
263,Medical Examiner,,312-666-0500,"2121 Harrison
Chicago, IL 60612
",41.8739676421,-87.6794192108
264,County Warehouse,,773-843-6090,"2323 Rockwell
Chicago, IL 60608
",41.8497328377,-87.6904242861
265,Cook County Works,,,"1030 Dixie Hwy Chicago Heights
IL 60411
",41.5114886082,-87.6434877541
266,Hawthorne Warehouse,,773-801-2000,"4545 Cermak
Chicago, IL 60623
",41.8512693963,-87.7381196286
267,Cook County Works,,,"2138 61st St
Chicago, IL 60636
",41.7830255403,-87.6736249399
268,Adult Probation,,312-491-6000,"1640 Walnut
Chicago, IL 60601
",41.8853650158,-87.6165592503
269,Adult Probation,,773-265-2400,"4734 Chicago
Chicago, IL 60644
",41.8803330239,-87.7574823908
270,Adult Probation Reporting Cntr,,,"533 103rd Street
Chicago, IL
",41.7073387905,-87.610078324
271,Adult Probation Reporting Cntr,,,"1014 Nobel Street
Chicago, IL
",41.8999648153,-87.6625822486
